stdgCd,lclgvNm,stlckId,stlckRprsPstnNm,stlckDtlPstnNm,stlckCnt,ctpvNm,sggNm,fcltRoadNmAddr,fcltLotnoAddr,lat,lot,wkdyOperBgngTm,wkdyOperEndTm,satOperBgngTm,satOperEndTm,lhldyOperBgngTm,lhldyOperEndTm,freeUtztnHr,instlYmd,custCntrTelno,mngInstNm,mngInstTelno,totCrtrYmd
"1100000000","서울특별시","A042A","서울식물원 서울식물원(1~12)","방문자센터 내부","12","서울특별시","강서구","서울특별시 강서구 마곡동로 161","서울특별시 강서구 마곡동 812 서울식물원","37.5663160000","126.8295810000","050000","010000","050000","010000","050000","000000","000000","20241007","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","A042B","서울식물원 서울식물원(13~26)","온실관 1층 매표소 옆 엘리베이터","14","서울특별시","강서구","서울특별시 강서구 마곡동로 161","서울특별시 강서구 마곡동 812 서울식물원","37.5693290000","126.8356250000","050000","010000","050000","010000","050000","000000","000000","20241007","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","A042C","서울식물원 서울식물원(27~40)","온실관 1층 매표소 옆 엘리베이터","14","서울특별시","강서구","서울특별시 강서구 마곡동로 161","서울특별시 강서구 마곡동 812","37.5692730000","126.8356320000","050000","010000","050000","010000","050000","000000","000000","20241007","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","A042D","서울식물원 서울식물원(41~54)","온실관 2층 내부","14","서울특별시","강서구","서울특별시 강서구 마곡동로 161","서울특별시 강서구 마곡동 812","37.5695970000","126.8351750000","050000","010000","050000","010000","050000","000000","000000","20241007","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","A042E","서울식물원 서울식물원(55~68)","온실관 2층 내부","14","서울특별시","강서구","서울특별시 강서구 마곡동로 161","서울특별시 강서구 마곡동 812","37.5696340000","126.8352700000","050000","010000","050000","010000","050000","000000","000000","20241007","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL120","6호선 석계","석계역 B1층 2, 3번 출구 방면","9","서울특별시","노원구","서울특별시 노원구 화랑로 지하347-1","서울특별시 노원구 월계동 25-2 석계역 6호선","37.6151710000","127.0668730000","050000","010000","050000","010000","050000","000000","000000","20241012","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL124","1호선 청량리","4번 출입구 계단 밑","17","서울특별시","동대문구","서울특별시 동대문구 왕산로 지하205","서울특별시 동대문구 전농동 620-67 청량리역","37.5804340000","127.0459040000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL125","1호선 제기동","2번  출구 계단 주변","9","서울특별시","동대문구","서울특별시 동대문구 왕산로 지하93","서울특별시 동대문구 제기동 65 제기동역","37.5783780000","127.0358620000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL126A","1호선 신설동(1~9)","우이신설 환승입구와 게이트 근처의 ATM 기기 주변","9","서울특별시","동대문구","서울특별시 동대문구 왕산로 지하1","서울특별시 동대문구 신설동 76-5 신설동역","37.5758480000","127.0236090000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL126B","2호선 신설동(10~18)","10번 출입구 게이트 내부","9","서울특별시","동대문구","서울특별시 동대문구 왕산로 지하1","서울특별시 동대문구 신설동 76-5 신설동역","37.5750480000","127.0244150000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL127A","1호선 동묘앞(1~9)","3번 출입구 내부 에스컬레이터 주변","9","서울특별시","종로구","서울특별시 종로구 종로 359","서울특별시 종로구 숭인동 117 동묘앞역","37.5732860000","127.0172410000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL127B","6호선 동묘앞(10~26)","동묘앞역 B1층 4, 7번 출구 방면","17","서울특별시","종로구","서울특별시 종로구 지봉로 지하24","서울특별시 종로구 숭인동 316-3 6호선 동묘앞역","37.5728140000","127.0156170000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL128A","1호선 동대문(1~25)","1번 출입구 주변","25","서울특별시","종로구","서울특별시 종로구 종로 지하302","서울특별시 종로구 창신동 492-1 1호선 동대문역","37.5716850000","127.0103890000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL128B","4호선 동대문(26~51)","8번 출입구 주변","26","서울특별시","종로구","서울특별시 종로구 율곡로 지하308","서울특별시 종로구 종로6가 287-1 4호선 동대문역","37.5706730000","127.0093020000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL128C","4호선 동대문(52~72)","9번 출입구 아이센터(i센터) 주변","21","서울특별시","종로구","서울특별시 종로구 율곡로 지하308","서울특별시 종로구 종로6가 287-1 4호선 동대문역","37.5709080000","127.0092590000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL129A","1호선 종로5가(1~19)","중앙게이트 주변, ATM,즉석사진기 옆","19","서울특별시","종로구","서울특별시 종로구 종로 지하216","서울특별시 종로구 종로5가 82-1 1호선 종로5가역","37.5709670000","127.0016310000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL129B","1호선 종로5가(20~32)","중앙게이트 주변, ATM,즉석사진기 옆","13","서울특별시","종로구","서울특별시 종로구 종로 지하216","서울특별시 종로구 종로5가 82-1 1호선 종로5가역","37.5709590000","127.0018150000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL130A","1호선 종로3가(1~25)","2-1번 출구 주변","25","서울특별시","종로구","서울특별시 종로구 종로 지하129","서울특별시 종로구 종로3가 10-5 1호선 종로3가역","37.5706490000","126.9920680000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL130B","1호선 종로3가(26~34)","10,11,12,13번 출구 주변 게이트 주변","9","서울특별시","종로구","서울특별시 종로구 종로 지하129","서울특별시 종로구 종로3가 10-5 1호선 종로3가역","37.5705380000","126.9930620000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL130C","3호선 종로3가(35~51)","2-1번 출입구 근처","17","서울특별시","종로구","서울특별시 종로구 돈화문로 지하30","서울특별시 종로구 묘동 20-5 3호선 종로3가역","37.5709926000","126.9919877000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL130D","5호선 종로3가(52~68)","종로3가역 B1층 4, 5번 출구 방면 (게이트 주변)","17","서울특별시","종로구","서울특별시 종로구 돈화문로11길 지하26","서울특별시 종로구 돈의동 39-1 5호선 종로3가역","37.5724690000","126.9887070000","050000","010000","050000","010000","050000","000000","000000","20241020","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL131A","1호선 종각(1~25)","4번 출구 주변","25","서울특별시","종로구","서울특별시 종로구 종로 지하55","서울특별시 종로구 종로1가 54 종각지하철역사","37.5701450000","126.9836040000","050000","010000","050000","010000","050000","000000","000000","20241022","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL131B","1호선 종각(26~50)","3번 출구 주변 게이트","25","서울특별시","종로구","서울특별시 종로구 종로 지하55","서울특별시 종로구 종로1가 54 종각지하철역사","37.5702130000","126.9830720000","050000","010000","050000","010000","050000","000000","000000","20241022","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL132A","1호선 시청(1~28)","2,3번 출구 주변","28","서울특별시","중구","서울특별시 중구 세종대로 지하101","서울특별시 중구 정동 5-5 시청역 1호선","37.5655790000","126.9770620000","050000","010000","050000","010000","050000","000000","000000","20241025","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL132B","1호선 시청(29~44)","1번 출구 주변","16","서울특별시","중구","서울특별시 중구 세종대로 지하101","서울특별시 중구 정동 5-5 시청역 1호선","37.5648670000","126.9770070000","050000","010000","050000","010000","050000","000000","000000","20241025","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL132C","2호선 시청(45~69)","8번 출구 → 1호선환승 방향","25","서울특별시","중구","서울특별시 중구 서소문로 지하127","서울특별시 중구 서소문동 90-1 시청역 2호선","37.5638590000","126.9764020000","050000","010000","050000","010000","050000","000000","000000","20241025","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL133A","1호선 서울역(1~22)","1호선 1번 출구입 주변","22","서울특별시","중구","서울특별시 중구 세종대로 지하2","서울특별시 중구 남대문로5가 73-6 서울역 1호선","37.5552956400","126.9720383200","050000","010000","050000","010000","050000","000000","000000","20241023","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL133B","1호선 서울역(23~44)","2,3번 출입구 복도 사이","22","서울특별시","중구","서울특별시 중구 세종대로 지하2","서울특별시 중구 남대문로5가 73-6 서울역 1호선","37.5566780000","126.9725250000","050000","010000","050000","010000","050000","000000","000000","20241023","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL133C","1호선 서울역(45~64)","2,3번 출입구 복도 사이/화장실 주변","20","서울특별시","중구","서울특별시 중구 세종대로 지하2","서울특별시 중구 남대문로5가 73-6 서울역 1호선","37.5562180000","126.9724280000","050000","010000","050000","010000","050000","000000","000000","20241023","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL133D","4호선 서울역(65~90)","11,14번 출입구 주변","26","서울특별시","용산구","서울특별시 용산구 한강대로 지하392","서울특별시 용산구 동자동 14-151 4호선 서울역","37.5533360000","126.9727650000","050000","010000","050000","010000","050000","000000","000000","20241023","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL145","7호선 온수","온수역 B1층 고객상담실 주변(민원발급기 옆)","13","서울특별시","구로구","서울특별시 구로구 경인로3길 지하64","서울특별시 구로구 온수동 119 7호선 온수역","37.4922560000","126.8226520000","050000","010000","050000","010000","050000","000000","000000","20240930","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL202A","2호선 을지로입구(1~25)","중앙 게이트 주변","25","서울특별시","중구","서울특별시 중구 을지로 지하42","서울특별시 중구 을지로1가 100-1 을지로입구역 2호선","37.5659910000","126.9821180000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL202B","2호선 을지로입구(26~50)","3,4번 출입구 방향 통로","25","서울특별시","중구","서울특별시 중구 을지로 지하42","서울특별시 중구 을지로1가 100-1 을지로입구역 2호선","37.5661360000","126.9830750000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL203A","2호선 을지로3가(1~26)","게이트 통로 상가 주변","26","서울특별시","중구","서울특별시 중구 을지로 지하106","서울특별시 중구 을지로3가 347-3 을지로3가역 2호선","37.5662860000","126.9910190000","050000","010000","050000","010000","050000","000000","000000","20241017","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL203B","3호선 을지로3가(27~39)","9번 출입구 게이트 주변","13","서울특별시","중구","서울특별시 중구 을지로 지하129","서울특별시 중구 을지로3가 347-3 을지로3가역 2호선","37.5657720000","126.9926070000","050000","010000","050000","010000","050000","000000","000000","20241017","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL204A","2호선 을지로4가(1~13)","지하1층 1,2번 출구 방향 화장실 주변","13","서울특별시","중구","서울특별시 중구 을지로 지하178","서울특별시 중구 을지로4가 267-1 을지로4가역 2호선","37.5667360000","126.9979620000","050000","010000","050000","010000","050000","000000","000000","20241017","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL204B","5호선 을지로4가(14~26)","을지로4가역 B1층 편의점(7-ELEVEN) 주변(1,2번출구)","13","서울특별시","중구","서울특별시 중구 창경궁로 지하51","서울특별시 중구 주교동 191 을지로4가역 5호선","37.5668580000","126.9980950000","050000","010000","050000","010000","050000","000000","000000","20241017","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL205A","2호선 동대문역사문화공원(1~36)","1번 출입구 주변","36","서울특별시","중구","서울특별시 중구 을지로 지하279","서울특별시 중구 을지로7가 112-3 동대문역사문화공원역 2호선","37.5659250000","127.0084630000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL205B","2호선 동대문역사문화공원(37~60)","1번 출입구, 상가 주변","24","서울특별시","중구","서울특별시 중구 을지로 지하279","서울특별시 중구 을지로 지하279","37.5658880000","127.0080660000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL205C","4호선 동대문역사문화공원(61~88)","4호선 게이트 화장실 주변","28","서울특별시","중구","서울특별시 중구 장충단로 지하230","서울특별시 중구 광희동2가 9 동대문역사문화공원역 4호선","37.5654050000","127.0079650000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL205D","5호선 동대문역사문화공원(89~97)","동대문역사문화공원역 B2층 게이트 주변(6,7번출구)","9","서울특별시","중구","서울특별시 중구 마른내로 지하162","서울특별시 중구 광희동1가 235-6 동대문역사문화공원역 5호선","37.5647280000","127.0046970000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL206A","2호선 신당(1~13)","2,3번 출구 사이 복도","13","서울특별시","중구","서울특별시 중구 퇴계로 지하431-1","서울특별시 중구 신당동 99 신당역 2호선","37.5656720000","127.0199970000","050000","010000","050000","010000","050000","000000","000000","20241016","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL206B","6호선 신당(14~22)","신당역 B1층 11, 12번 출구 방면","9","서울특별시","중구","서울특별시 중구 다산로 지하260","서울특별시 중구 흥인동 162-1 신당역 6호선","37.5661540000","127.0162000000","050000","010000","050000","010000","050000","000000","000000","20241016","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL207","2호선 상왕십리","2,3,4번 출구 사이 복도","9","서울특별시","성동구","서울특별시 성동구 왕십리로 지하374","서울특별시 성동구 하왕십리동 946-14 상왕십리역","37.5641590000","127.0298490000","050000","010000","050000","010000","050000","000000","000000","20241016","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL208A","2호선 왕십리(1~17)","3번 출입구 주변","17","서울특별시","성동구","서울특별시 성동구 왕십리로 지하300","서울특별시 성동구 행당동 192 왕십리역","37.5612360000","127.0366380000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL208B","5호선 왕십리(18~30)","왕십리역 B1층 4, 5번 출구 방면","13","서울특별시","성동구","서울특별시 성동구 왕십리로 지하300","서울특별시 성동구 행당동 192 왕십리역","37.5613640000","127.0373840000","050000","010000","050000","010000","050000","000000","000000","20240905","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL208C","5호선 왕십리(31~43)","6번출구 방향","13","서울특별시","성동구","서울특별시 성동구 왕십리로 지하300","서울특별시 성동구 행당동 192 왕십리역","37.5612460000","127.0388870000","050000","010000","050000","010000","050000","000000","000000","20240905","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL209","2호선 한양대","2,4번 출입구 주변","9","서울특별시","성동구","서울특별시 성동구 왕십리로 206","서울특별시 성동구 행당동 산17 한양대역","37.5559460000","127.0437250000","050000","010000","050000","010000","050000","000000","000000","20240909","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL210A","2호선 뚝섬","1,2,7,8번 출입구 주변","39","서울특별시","성동구","서울특별시 성동구 아차산로 18","서울특별시 성동구 성수동1가 656-745 뚝섬역","37.5475030000","127.0466250000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL2111","2호선 용답","1,2번 출입구 사이 게이트 주변","9","서울특별시","성동구","서울특별시 성동구 용답길 86","서울특별시 성동구 용답동 127 용답역","37.5622640000","127.0508010000","050000","010000","050000","010000","050000","000000","000000","20241025","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL2112","2호선 신답","1번 출입구 주변 게이트 주변","9","서울특별시","성동구","서울특별시 성동구 천호대로 232","서울특별시 성동구 용답동 129-2 신답역","37.5701100000","127.0468940000","050000","010000","050000","010000","050000","000000","000000","20241015","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL2113","2호선 용두","1번 출입구에서 3번 출입구 사이 통로","9","서울특별시","동대문구","서울특별시 동대문구 천호대로 지하129","서울특별시 동대문구 용두동 47-1 용두역","37.5741470000","127.0381820000","050000","010000","050000","010000","050000","000000","000000","20241025","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL211A","2호선 성수(1~28)","1,4번 출입구 주변","28","서울특별시","성동구","서울특별시 성동구 아차산로 100","서울특별시 성동구 성수동2가 300-1 성수역","37.5448440000","127.0551140000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL211B","2호선 성수(29~45)","3번출구 주변 꽃집, 신발가계 사이","17","서울특별시","성동구","서울특별시 성동구 아차산로 100","서울특별시 성동구 성수동2가 300-1 성수역","37.5443670000","127.0566570000","050000","010000","050000","010000","050000","000000","000000","20230531","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL212A","2호선 건대입구(1~22)","6번 출입구 주변","22","서울특별시","광진구","서울특별시 광진구 아차산로 243","서울특별시 광진구 화양동 7-3 2호선 건대입구역","37.5405850000","127.0686240000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL212B","2호선 건대입구(23~44)","2번 출입구 주변","22","서울특별시","광진구","서울특별시 광진구 아차산로 243","서울특별시 광진구 화양동 7-3 2호선 건대입구역","37.5401830000","127.0702930000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL212C","2호선 건대입구(45~66)","5번 출입구 주변","22","서울특별시","광진구","서울특별시 광진구 아차산로 243","서울특별시 광진구 화양동 7-3 2호선 건대입구역","37.5399800000","127.0701180000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL212D","7호선 건대입구(67~79)","건대입구역 B2층 3번 출구 방면(편의점(GS25) 주변)","13","서울특별시","광진구","서울특별시 광진구 능동로 지하110","서울특별시 광진구 화양동 6-3 7호선 건대입구역","37.5406730000","127.0711800000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
